name,author,narrator,time,releasedate,language,stars,price
A Text Before Dying,Writtenby:McGarveyBlack,Narratedby:GailShalan,8 hrs and 9 mins,05-10-21,English,Not rated yet,703.00
The Garden,Writtenby:JonGordon,Narratedby:JonGordon,1 hr and 24 mins,09-11-20,English,Not rated yet,233.00
The Other Side of War,Writtenby:KatharinePrescottWormeley,Narratedby:KateMulligan,4 hrs and 34 mins,25-06-19,English,Not rated yet,773.00
Not Nice,Writtenby:Dr.AzizGazipuraPsyD,Narratedby:Dr.AzizGazipuraPsyD,18 hrs and 2 mins,30-11-17,English,4.5 out of 5 stars6 ratings,836.00
Røv og gulvsand,Writtenby:AnitaKrumbach,Narratedby:GustavScavenius,1 hr and 15 mins,13-01-22,danish,Not rated yet,233.00
Dracula,Writtenby:BramStoker,"Narratedby:PatriciaAllison,RachelAtkins,DaisyEdgar-Jones,",18 hrs and 25 mins,21-10-21,English,Not rated yet,873.00
Thou Shall Not Pass,Writtenby:LeoMoynihan,Narratedby:ShaunGrindell,6 hrs and 3 mins,25-02-21,English,Not rated yet,
101 Ways to Magnetize Money...in Any Economy,Writtenby:MattFurey,Narratedby:MattFurey,5 hrs,01-03-16,English,Not rated yet,"1,439.00"
The Strait Path to Real Estate Wealth,"Writtenby:KrisKrohn,KevinClayson","Narratedby:KrisKrohn,StephenMiller",,27-04-17,English,Not rated yet,668.00
Renewal,Writtenby:EknathEaswaran,Narratedby:PaulBazely,1 hr and 23 mins,09-10-09,English,2.5 out of 5 stars3 ratings,166.00
A Bittersweet Garden,Writtenby:CarenJ.Werlinger,Narratedby:AlanaKerrCollins,10 hrs and 3 mins,04-06-19,English,5 out of 5 stars1 rating,668.00
El Hombre Espiritual [The Spiritual Man],Writtenby:WatchmanNee,Narratedby:SergioBustos,34 hrs and 28 mins,08-09-20,spanish,Not rated yet,"1,382.00"
When You Reach Me,Writtenby:RebeccaStead,Narratedby:CynthiaHolloway,4 hrs and 19 mins,14-07-09,English,3.5 out of 5 stars3 ratings,703.00
Natural Forces Trilogy,Writtenby:JeanGill,Narratedby:JannieMeisberger,29 hrs and 13 mins,30-09-21,English,Not rated yet,703.00
Death Valley Aliens,Writtenby:TedFaye,"Narratedby:TedFaye,TimFrance,OHKrill",1 hr and 9 mins,18-06-20,English,Not rated yet,468.00
Rough Edge,Writtenby:LaurenLandish,"Narratedby:CarlyRobins,LanceGreenfield",11 hrs and 16 mins,03-06-20,English,Not rated yet,836.00
Chandrakanta (Hindi Edition),Writtenby:DevkiNandanKhatri,Narratedby:ManishSinghal,12 hrs and 41 mins,19-07-21,Hindi,4.5 out of 5 stars15 ratings,
The Star Girl,"Writtenby:LineKyedKnudsen,SigneHolstHansen-translator",Narratedby:JenniferWagstaffe,36 mins,29-10-21,English,Not rated yet,99.00
Bad Boy,Writtenby:MichaelGliksman,Narratedby:AlanKing,3 hrs and 21 mins,15-08-06,English,Not rated yet,568.00
Jeeves and the Unwanted Guest [Classic Tales Edition],Writtenby:P.G.Wodehouse,Narratedby:B.J.Harrison,40 mins,09-08-16,English,4.5 out of 5 stars2 ratings,47.00
"Blood, Steel, and Canvas",Writtenby:CraigA.Wilson,Narratedby:JohnMcLain,7 hrs and 23 mins,10-04-13,English,Not rated yet,602.00
"Eat, Pray, #FML",Writtenby:GabrielleStone,Narratedby:GabrielleStone,9 hrs and 39 mins,11-02-20,English,2.5 out of 5 stars2 ratings,703.00
Jungle Doctor and the Whirlwind,Writtenby:PaulWhite,Narratedby:PaulMichael,3 hrs and 31 mins,13-07-12,English,Not rated yet,351.00
The Secret Garden (Dramatized),Writtenby:FrancesHodgsonBurnett,"Narratedby:BarbaraRosenblat,MichaelCrouch,GeorgiaLeeSchultz,",1 hr and 48 mins,25-01-22,English,Not rated yet,632.00
Expert Secrets - Body Language and Manipulation,Writtenby:MaxwellJensen,Narratedby:JosephThorson,2 hrs and 22 mins,22-04-21,English,Not rated yet,398.00
Lightning Struck,Writtenby:NicholeVan,"Narratedby:P.J.Ochlan,NicolZanzarella",10 hrs and 51 mins,10-11-20,English,Not rated yet,
ささき隊長のみぢかなコワイいきもの,Writtenby:ささき隊長,Narratedby:ささき隊長,54 mins,22-09-21,japanese,Not rated yet,139.00
The Judge's House,Writtenby:BramStoker,Narratedby:PeterSilverleaf,46 mins,10-01-22,English,Not rated yet,99.00
"Egyptian Mythology: Classic Stories of Egyptian Myths, Gods, Goddesses, Heroes, and Monsters",Writtenby:ScottLewis,Narratedby:OliverHunt,5 hrs and 16 mins,20-11-18,English,5 out of 5 stars3 ratings,668.00
The Adrenal Thyroid Revolution,Writtenby:AvivaRomm,Narratedby:TanyaEby,9 hrs and 5 mins,31-01-17,English,Not rated yet,"1,350.00"
The Dragon's Tooth,Writtenby:N.D.Wilson,Narratedby:ThomasVincentKelly,13 hrs and 8 mins,23-08-11,English,Not rated yet,"1,206.00"
Masters of Modern Soccer,Writtenby:GrantWahl,Narratedby:GrantWahl,6 hrs and 59 mins,01-05-18,English,Not rated yet,879.00
Learn Swedish: Ultimate Getting Started with Swedish,Writtenby:InnovativeLanguageLearningLLC,Narratedby:InnovativeLanguageLearning,8 hrs and 9 mins,15-11-21,English,Not rated yet,"1,172.00"
Make Work Matter,Writtenby:MichaelaO'DonnellPhD,Narratedby:MichaelaO'Donnell,5 hrs and 46 mins,18-01-22,English,Not rated yet,586.00
The Blazing World,Writtenby:MargaretCavendish,Narratedby:LucyScott,4 hrs and 7 mins,11-02-22,English,Not rated yet,352.00
Menneskesmugling,Writtenby:Variousauthors,Narratedby:FinnAndersen,38 mins,03-12-21,danish,Not rated yet,99.00
My Super Sister and the Birthday Party,Writtenby:GwynethRees,Narratedby:SophieAldred,2 hrs and 22 mins,29-08-13,English,Not rated yet,349.00
Bridget Jones,Writtenby:HelenFielding,Narratedby:HelenFielding,3 hrs and 14 mins,30-01-07,English,Not rated yet,323.00
Wormwood Summer,Writtenby:KaiButler,Narratedby:GregTremblay,10 hrs and 59 mins,24-09-21,English,Not rated yet,836.00
"Abraham Lincoln: A Life, Volume Two",Writtenby:MichaelBurlingame,Narratedby:SeanPratt,53 hrs and 45 mins,18-02-16,English,Not rated yet,"1,338.00"
Switch in the Red (Spanish edition),Writtenby:SusanaVallejoChavarino,Narratedby:OlgaMaríaGarcíaPanadero,9 hrs and 52 mins,15-09-21,spanish,Not rated yet,
Hooked,Writtenby:MichaelMoss,Narratedby:ScottBrick,9 hrs,04-03-21,English,4.5 out of 5 stars3 ratings,888.00
Fantastic Beasts and Where to Find Them,"Writtenby:J.K.Rowling,NewtScamander",Narratedby:EddieRedmayne,1 hr and 54 mins,14-03-17,English,4.5 out of 5 stars57 ratings,652.00
The Making of Slap Shot,Writtenby:JonathonJackson,Narratedby:FleetCooper,9 hrs and 31 mins,01-08-12,English,Not rated yet,668.00
F*ck Happiness,Writtenby:ArielGore,Narratedby:LiisaIvary,6 hrs and 14 mins,12-05-20,English,Not rated yet,702.00
Change Your Brain and Stop Procrastination,"Writtenby:RyanMiller,JohnScott",Narratedby:TimothyBurke,10 hrs and 56 mins,12-06-20,English,Not rated yet,836.00
Defending Harlow,Writtenby:SusanStoker,Narratedby:StellaBloom,9 hrs and 18 mins,04-06-19,English,5 out of 5 stars1 rating,502.00
The Loop,Writtenby:BenOliver,Narratedby:JulianElfer,8 hrs and 15 mins,07-04-20,English,Not rated yet,820.00
Roma Antiqua,"Writtenby:JohnClarke,JörgFündling-Übersetzer","Narratedby:MichaelHametner,KerstinHoffmann",1 hr and 10 mins,30-03-22,german,Not rated yet,233.00
1分間日本史1200,Writtenby:石井貴士,Narratedby:大島昭彦,6 hrs and 37 mins,29-06-20,japanese,Not rated yet,697.00
Али: Жизнь. Часть 1,Writtenby:ДжонатанЭйг,Narratedby:ИльяДементьев,10 hrs and 24 mins,17-11-21,russian,Not rated yet,233.00
Alan Turing,Writtenby:SimoneButtazzi,Narratedby:ClaudioBorgianni,58 mins,10-10-12,italian,Not rated yet,75.00
Weihnachtsbote auf vier Pfoten,Writtenby:SheilaRoberts,Narratedby:BerndReheuser,4 hrs and 52 mins,20-09-13,german,Not rated yet,267.00
La villa degli amori sospesi,Writtenby:LenaJohannson,Narratedby:SabineCerullo,6 hrs and 35 mins,16-12-21,italian,Not rated yet,843.00
Das Kurdenkreuz,Writtenby:KarlMay,Narratedby:JulianLübbers,1 hr and 44 mins,04-01-22,german,Not rated yet,133.00
Chuang Tsu,"Writtenby:GiaFuFeng,JaneEnglish",Narratedby:ChungliangAlHuang,2 hrs and 47 mins,23-05-14,English,Not rated yet,468.00
Starting with Max,Writtenby:YingYing,Narratedby:Ming-ZhuHii,4 hrs and 58 mins,01-03-14,English,Not rated yet,585.00
Depraved,Writtenby:JohnGlatt,Narratedby:ShaunGrindell,6 hrs and 23 mins,28-12-21,English,Not rated yet,586.00
Never Have I Ever,Writtenby:LaurenBlakely,"Narratedby:AmandaRonconi,JasonClarke",8 hrs and 20 mins,30-07-19,English,4.5 out of 5 stars8 ratings,"1,003.00"
"The Latest from the Greatest, Vol. 2",Writtenby:DarrellWayne,Narratedby:DarrellWayne,7 hrs and 18 mins,01-02-18,English,Not rated yet,820.00
Out of Our Minds,Writtenby:FelipeFernandez-Armesto,Narratedby:KrisDyer,19 hrs and 33 mins,25-07-19,English,5 out of 5 stars1 rating,949.00
Visualization for Weight Loss,Writtenby:JonGabriel,Narratedby:JonGabriel,4 hrs and 27 mins,26-02-16,English,5 out of 5 stars4 ratings,586.00
Under nattens stjerner,Writtenby:MarciaWillett,Narratedby:TammiØst,5 hrs and 58 mins,06-01-22,danish,Not rated yet,468.00
I Am an Octopus,"Writtenby:TrishaSpeedShaskan,ToddOuren",Narratedby:anonymous,6 mins,28-03-22,English,Not rated yet,82.00
Bad Indians,Writtenby:DeborahA.Miranda,Narratedby:DeborahMiranda,8 hrs and 3 mins,12-07-21,English,Not rated yet,668.00
Among You,Writtenby:JakeWood,Narratedby:JoeCoen,17 hrs and 2 mins,11-02-14,English,Not rated yet,873.00
Sünderblut,Writtenby:ChristophHeiden,Narratedby:Omid-PaulEftekhari,7 hrs and 32 mins,22-10-21,german,Not rated yet,602.00
Blood and Treachery (A Scottish Crime Thriller),Writtenby:JDKirk,Narratedby:AngusKing,9 hrs and 15 mins,11-08-20,English,Not rated yet,668.00
Correr o morir,Writtenby:KilianJornet,Narratedby:LuisTorrelles,6 hrs and 25 mins,02-08-21,spanish,Not rated yet,307.00
My Sister's Ex,Writtenby:CydneyRax,"Narratedby:BahniTurpin,AdenreleOjo",9 hrs and 11 mins,04-08-09,English,Not rated yet,"1,005.00"
Die kleine Rosalinda im Urlaub auf Kreta,Writtenby:MonikaSchuberth,Narratedby:MonikaSchuberth,27 mins,10-12-19,german,Not rated yet,65.00
La petite fille aux allumettes,Writtenby:HansChristianAndersen,Narratedby:LydieLacroix,6 mins,23-10-09,french,Not rated yet,184.00
A Fighting Chance,Writtenby:TatumWest,"Narratedby:AlexanderCendese,TorThom",8 hrs and 9 mins,24-07-19,English,5 out of 5 stars1 rating,469.00
Vergessene Träume,Writtenby:StefanZweig,Narratedby:JulianLübbers,15 mins,04-01-22,german,Not rated yet,32.00
The Archivist,Writtenby:RexPickett,Narratedby:CarolineHewitt,29 hrs and 51 mins,09-11-21,English,Not rated yet,"1,805.00"
Face,Writtenby:JustineBateman,Narratedby:JustineBateman,5 hrs and 26 mins,15-05-21,English,Not rated yet,668.00
第82回 新刊ラジオ第2部プレミアム　,"Writtenby:矢島雅弘,石橋遊","Narratedby:矢島雅弘,石橋遊",23 mins,25-05-15,japanese,Not rated yet,139.00
Sweet Retribution,Writtenby:CallieRose,Narratedby:KasiHollowell,7 hrs and 44 mins,02-02-21,English,Not rated yet,668.00
第835回 新刊ラジオ第2部プレミアム　,"Writtenby:矢島雅弘,石橋遊","Narratedby:矢島雅弘,石橋遊",17 mins,15-05-18,japanese,Not rated yet,139.00
The Year Shakespeare Ruined My Life,Writtenby:DaniJansen,Narratedby:RebeccaAuerbach,7 hrs and 49 mins,01-07-21,English,Not rated yet,445.00
Nobody Knows,Writtenby:LaniLynnVale,"Narratedby:VirginiaRose,MatthewMaddux",6 hrs and 2 mins,01-12-20,English,Not rated yet,668.00
Never Argue with a Dead Person,Writtenby:ThomasJohn,Narratedby:JeffCummings,5 hrs and 52 mins,31-03-15,English,5 out of 5 stars1 rating,670.00
Buscapistas: El Caso De La Cueva Prohibida (Narración en Castellano) [Seekers: The Case of the Forbidden Cave],"Writtenby:TeresaBlanch,JoséÁngelLabariIlundain","Narratedby:EvaColl,LolaSans,SarahMuñiz",54 mins,29-09-20,spanish,Not rated yet,268.00
The Story of My Experiments with Truth: An Autobiography,Writtenby:M.K.Gandhi,Narratedby:SagarArya,20 hrs and 27 mins,02-10-19,English,4.5 out of 5 stars258 ratings,"1,093.00"
Uncanny,Writtenby:SarahFine,"Narratedby:ScottMerriman,BaileyCarr",10 hrs and 3 mins,03-10-17,English,Not rated yet,469.00
The Handsome Widower's Second Chance,Writtenby:EllieeAtkinson,Narratedby:AmyMelissaBentley,6 hrs and 36 mins,30-03-18,English,Not rated yet,586.00
Dirty Glory,Writtenby:PeteGreig,Narratedby:PeteGreig,12 hrs and 5 mins,29-03-17,English,5 out of 5 stars2 ratings,703.00
La cadena de oro,"Writtenby:CassandraClare,PatriciaNunes,CristinaCarro",Narratedby:LolaSans,21 hrs and 24 mins,27-04-21,spanish,Not rated yet,614.00
Securing Zoey,Writtenby:SusanStoker,Narratedby:SavannahPeachwood,10 hrs and 11 mins,07-01-20,English,Not rated yet,836.00
English Vocabulary Master - Phrasal Verbs in Situations. For Intermediate / Advanced Learners - Proficiency Level B2-C1,Writtenby:DorotaGuzik,Narratedby:MaybeTheatreCompany,1 hr and 7 mins,05-05-17,English,4.5 out of 5 stars2 ratings,233.00
Full Tilt,Writtenby:DervlaMurphy,Narratedby:EmmaLowe,9 hrs and 32 mins,31-07-19,English,4.5 out of 5 stars3 ratings,633.00
The Game of Life and How to Play It,Writtenby:FlorenceScovelShinn,Narratedby:DixieGlassman,1 hr and 57 mins,11-11-10,English,4.5 out of 5 stars3 ratings,234.00
A Bedtime Meditation for Kids,Writtenby:AshleyJoseph,Narratedby:NoahDeBiase,29 mins,21-04-20,English,Not rated yet,47.00
Prince of Tricks,Writtenby:JaneKindred,Narratedby:BradKing,10 hrs and 18 mins,10-07-21,English,Not rated yet,468.00
Mrs. Yonkers Is Bonkers!,Writtenby:DanGutman,Narratedby:JaredGoldsmith,54 mins,16-12-14,English,Not rated yet,305.00
I nomi e le voci,Writtenby:RobertoMussapi,"Narratedby:EdoardoSiravo,MiriamMesturino",,07-04-21,italian,Not rated yet,382.00
A Beautiful Day in the Neighborhood (Movie Tie-In),"Writtenby:FredRogers,TomJunod-contributor","Narratedby:FredRogers,TomJunod",4 hrs and 9 mins,05-11-19,English,Not rated yet,754.00
Julen er hjerternes fest,Writtenby:LiseNørgaard,Narratedby:AsgerboPersson,2 hrs and 30 mins,26-10-21,danish,Not rated yet,267.00
Rasputin,Writtenby:DouglasSmith,Narratedby:P.J.Ochlan,33 hrs and 3 mins,17-11-16,English,5 out of 5 stars1 rating,323.00
Das Schlossgeheimnis,Writtenby:MartinWidmark,Narratedby:JensWawrczeck,43 mins,21-08-19,german,Not rated yet,233.00
The Big Screen Drive-In Theater,Writtenby:DonaldDavis,Narratedby:DonaldDavis,53 mins,20-10-00,English,Not rated yet,300.00
The Shipwreck Hunter,Writtenby:DavidL.Mearns,Narratedby:DanWoren,16 hrs and 51 mins,26-06-18,English,Not rated yet,"1,003.00"
El passeig encantat,"Writtenby:Mattel,MartaCisaMuñoz-traductor",Narratedby:MiriamMonlleo,28 mins,02-02-22,catalan,Not rated yet,115.00
Who Was Aretha Franklin?,"Writtenby:NicoMedina,WhoHQ",Narratedby:KarenChilton,1 hr and 7 mins,02-11-21,English,Not rated yet,351.00
Learn Arabic - Word Power 101,Writtenby:InnovativeLanguageLearning,Narratedby:InnovativeLanguageLearning,48 mins,16-03-12,English,4.5 out of 5 stars2 ratings,Free
精神統合失調症　寛解までのリアルな歩み,Writtenby:モンゴロイド,Narratedby:飛立未鳥,2 hrs and 36 mins,25-09-21,japanese,Not rated yet,558.00
やはり俺の青春ラブコメはまちがっている。結　１,Writtenby:渡航,"Narratedby:石井一貴,戸田めぐみ",7 hrs and 9 mins,10-12-21,japanese,Not rated yet,837.00
2012年6月3週目 ヴォイニッチの科学書,"Writtenby:中西貴之,BJ","Narratedby:中西貴之,BJ",32 mins,25-05-15,japanese,Not rated yet,139.00
Why Food Matters,Writtenby:PaulFreedman,Narratedby:JackdeGolia,5 hrs and 29 mins,28-09-21,English,4 out of 5 stars1 rating,820.00
"Sidney Reilly, l'espion gentleman",Writtenby:FrédéricGarnier,Narratedby:FrédéricChevaux,11 mins,12-10-20,french,Not rated yet,74.00
Bridged by Love,Writtenby:NancyCorrigan,Narratedby:GaryFurlong,7 hrs and 21 mins,03-09-19,English,Not rated yet,586.00
The Mirror and the Light,Writtenby:HilaryMantel,Narratedby:BenMiles,38 hrs and 11 mins,05-03-20,English,5 out of 5 stars13 ratings,"1,138.00"
"A Matter of Time, Volume 2",Writtenby:MaryCalmes,Narratedby:PaulMorey,13 hrs and 49 mins,01-02-13,English,5 out of 5 stars1 rating,469.00
Nachrichten von Männern,"Writtenby:AnikaDecker,KatjaBerlin","Narratedby:RanjaBonalana,SteffenGroth,NanaSpier",3 hrs and 21 mins,31-05-21,german,Not rated yet,367.00
Friedrich I. Barbarossa. Kaiser des Römischen Reichs,Writtenby:ElkeBader,Narratedby:HeinerHeusinger,2 hrs and 25 mins,08-12-10,german,Not rated yet,367.00
Sophie und Hans Scholl (1921/18-1943) Basiswissen,Writtenby:BertAlexanderPetzold,Narratedby:CoraHillekamp,1 hr and 6 mins,18-08-21,german,Not rated yet,434.00
Santori Reborn,Writtenby:MarisBlack,Narratedby:J.F.Harding,7 hrs and 27 mins,12-02-19,English,5 out of 5 stars1 rating,668.00
Embrace,Writtenby:JessicaShirvington,Narratedby:RebeccaMacauley,9 hrs and 56 mins,16-05-12,English,Not rated yet,820.00
The Red Bandanna,Writtenby:TomRinaldi,Narratedby:TomRinaldi,6 hrs and 33 mins,06-09-16,English,Not rated yet,879.00
Show Me Community Helpers,Writtenby:ClintEdwards,Narratedby:anonymous,21 mins,15-03-22,English,Not rated yet,93.00
Guesswork,Writtenby:ScottLininger,Narratedby:ColbyElliott,6 hrs and 13 mins,04-06-14,English,Not rated yet,633.00
The Tristan Betrayal,Writtenby:RobertLudlum,Narratedby:PaulMichael,16 hrs and 44 mins,31-10-03,English,4.5 out of 5 stars2 ratings,221.00
Willy reser till fyrkantsvärlden,"Writtenby:JeffreyArcher,MariaNilsson",Narratedby:MagnusSchmitz,32 mins,07-03-22,swedish,Not rated yet,32.00
The Stopover,Writtenby:TLSwan,"Narratedby:SebastianYork,CJBloom",12 hrs and 58 mins,29-10-19,English,4.5 out of 5 stars14 ratings,"1,005.00"
Quin cap!,Writtenby:RicardRuizGarzón,Narratedby:MartaBayarri,15 mins,26-07-21,catalan,Not rated yet,38.00
"Ich, Merlin, und die furchtlosen Ritter",Writtenby:FrankSchwieger,"Narratedby:PeterKaempfe,CathlenGawlich,FrankBahrenberg,",5 hrs and 34 mins,27-03-20,german,Not rated yet,602.00
Spotlight Audio - Wild beauty. The county of Northumberland. 14/2021,Writtenby:div.,Narratedby:div.,1 hr,08-12-21,german,Not rated yet,501.00
The Perfect Run 3,"Writtenby:MaximeJ.Durand,VoidHerald",Narratedby:EricMichaelSummerer,18 hrs and 14 mins,15-03-22,English,Not rated yet,"1,507.00"
The Real Purpose of Parenting,Writtenby:Dr.PhillipBDembo,Narratedby:Dr.PhillipBDembo,6 hrs and 47 mins,16-03-12,English,Not rated yet,938.00
Culture Smart! Mexico,Writtenby:RusselMaddicks,Narratedby:CharlesArmstrong,3 hrs and 39 mins,03-03-20,English,Not rated yet,"1,172.00"
Viaggio di un naturalista intorno al mondo,Writtenby:CharlesDarwin,Narratedby:GigiScribani,23 hrs and 39 mins,31-05-19,italian,Not rated yet,382.00
Dumb Witness,Writtenby:AgathaChristie,Narratedby:HughFraser,7 hrs and 18 mins,30-10-07,English,4.5 out of 5 stars7 ratings,379.00
The Prince [unabridged],Writtenby:NiccolòMachiavelli,Narratedby:EricNutting,3 hrs and 13 mins,11-10-21,English,Not rated yet,93.00
The Little Book of Office Bollocks,Writtenby:JosephGelfer,Narratedby:BenOttridge,34 mins,07-08-07,English,Not rated yet,96.00
Andre Agassi,Writtenby:OnlineStudioProductions,Narratedby:uncredited,35 mins,11-12-17,spanish,Not rated yet,94.00
Together Under the Stars,Writtenby:BerylMatthews,Narratedby:CharlotteWorthing,10 hrs and 51 mins,20-05-21,English,Not rated yet,645.00
Lais,"Writtenby:MariedeFrance,SerafinoBalduzzi",Narratedby:SilviaCecchini,3 hrs and 21 mins,07-06-13,italian,Not rated yet,75.00
The Hip Chick's Guide to Macrobiotics,Writtenby:JessicaPorter,Narratedby:JessicaPorter,7 hrs and 18 mins,30-12-09,English,Not rated yet,668.00
Puccini: Madame Butterfly,Writtenby:ThomsonSmillie,Narratedby:DavidTimson,1 hr and 5 mins,26-10-12,English,Not rated yet,211.00
Hotaru,Writtenby:KarlAlbrechtHeise,Narratedby:KarlheinzGabor,5 mins,04-01-22,german,Not rated yet,32.00
What Are Christians For?,Writtenby:JakeMeador,Narratedby:AdamVerner,6 hrs and 25 mins,22-02-22,English,Not rated yet,586.00
The Emperor Far Away,Writtenby:DavidEimer,Narratedby:CoreySnow,10 hrs and 40 mins,16-09-14,English,Not rated yet,836.00
Ben Down,Writtenby:MartinCrump,Narratedby:MartinCrump,2 mins,01-05-21,English,Not rated yet,94.00
Awaken Your Third Eye,Writtenby:SusanShumskyDD,Narratedby:ChristinaDelaine,7 hrs and 37 mins,27-10-20,English,Not rated yet,586.00
L'arbre qui pleure,Writtenby:MarlèneJobert,Narratedby:MarlèneJobert,17 mins,17-05-21,french,Not rated yet,263.00
The Heretic's Handbook,Writtenby:JonathanBlack,Narratedby:SimonMattacks,2 hrs and 38 mins,01-03-19,English,Not rated yet,335.00
Deep Sleep,Writtenby:StevenKonkoly,Narratedby:SethPodowitz,10 hrs and 18 mins,01-02-22,English,Not rated yet,"1,008.00"
Essays of E. B. White,Writtenby:E.B.White,Narratedby:MalcolmHillgartner,12 hrs and 18 mins,07-06-16,English,Not rated yet,820.00
